unicode,codepoint,latex,compose,description
𝓒,U1D4D2,\mathcal{C},<Multi_key> <C> <C>,mathematical bold script capital C
𝓓,U1D4D3,\mathcal{D},<Multi_key> <C> <D>,mathematical bold script capital D
𝓔,U1D4D4,\mathcal{E},<Multi_key> <C> <E>,mathematical bold script capital E
𝓕,U1D4D5,\mathcal{F},<Multi_key> <C> <F>,mathematical bold script capital F
𝓖,U1D4D6,\mathcal{G},<Multi_key> <C> <G>,mathematical bold script capital G
𝓗,U1D4D7,\mathcal{H},<Multi_key> <C> <H>,mathematical bold script capital H
𝓘,U1D4D8,\mathcal{I},<Multi_key> <C> <I>,mathematical bold script capital I
𝓙,U1D4D9,\mathcal{J},<Multi_key> <C> <J>,mathematical bold script capital J
𝓚,U1D4DA,\mathcal{K},<Multi_key> <C> <K>,mathematical bold script capital K
𝓛,U1D4DB,\mathcal{L},<Multi_key> <C> <L>,mathematical bold script capital L
𝓜,U1D4DC,\mathcal{M},<Multi_key> <C> <M>,mathematical bold script capital M
𝓝,U1D4DD,\mathcal{N},<Multi_key> <C> <N>,mathematical bold script capital N
𝓞,U1D4DE,\mathcal{O},<Multi_key> <C> <O>,mathematical bold script capital O
𝓟,U1D4DF,\mathcal{P},<Multi_key> <C> <P>,mathematical bold script capital P
𝓠,U1D4E0,\mathcal{Q},<Multi_key> <C> <Q>,mathematical bold script capital Q
𝓡,U1D4E1,\mathcal{R},<Multi_key> <C> <R>,mathematical bold script capital R
𝓢,U1D4E2,\mathcal{S},<Multi_key> <C> <S>,mathematical bold script capital S
𝓣,U1D4E3,\mathcal{T},<Multi_key> <C> <T>,mathematical bold script capital T
𝓤,U1D4E4,\mathcal{U},<Multi_key> <C> <U>,mathematical bold script capital U
𝓥,U1D4E5,\mathcal{V},<Multi_key> <C> <V>,mathematical bold script capital V
𝓦,U1D4E6,\mathcal{W},<Multi_key> <C> <W>,mathematical bold script capital W
𝓧,U1D4E7,\mathcal{X},<Multi_key> <C> <X>,mathematical bold script capital X
𝓨,U1D4E8,\mathcal{Y},<Multi_key> <C> <Y>,mathematical bold script capital Y
𝓩,U1D4E9,\mathcal{Z},<Multi_key> <C> <Z>,mathematical bold script capital Z
𝓪,U1D4EA,\mathcal{a},<Multi_key> <C> <a>,mathematical bold script small a
𝓫,U1D4EB,\mathcal{b},<Multi_key> <C> <b>,mathematical bold script small b
𝓬,U1D4EC,\mathcal{c},<Multi_key> <C> <c>,mathematical bold script small c
𝓭,U1D4ED,\mathcal{d},<Multi_key> <C> <d>,mathematical bold script small d
𝓮,U1D4EE,\mathcal{e},<Multi_key> <C> <e>,mathematical bold script small e
𝓯,U1D4EF,\mathcal{f},<Multi_key> <C> <f>,mathematical bold script small f
𝓰,U1D4F0,\mathcal{g},<Multi_key> <C> <g>,mathematical bold script small g
𝓱,U1D4F1,\mathcal{h},<Multi_key> <C> <h>,mathematical bold script small h
𝓲,U1D4F2,\mathcal{i},<Multi_key> <C> <i>,mathematical bold script small i
𝓳,U1D4F3,\mathcal{j},<Multi_key> <C> <j>,mathematical bold script small j
𝓴,U1D4F4,\mathcal{k},<Multi_key> <C> <k>,mathematical bold script small k
𝓵,U1D4F5,\mathcal{l},<Multi_key> <C> <l>,mathematical bold script small l
𝓶,U1D4F6,\mathcal{m},<Multi_key> <C> <m>,mathematical bold script small m
𝓷,U1D4F7,\mathcal{n},<Multi_key> <C> <n>,mathematical bold script small n
𝓸,U1D4F8,\mathcal{o},<Multi_key> <C> <o>,mathematical bold script small o
𝓹,U1D4F9,\mathcal{p},<Multi_key> <C> <p>,mathematical bold script small p
𝓺,U1D4FA,\mathcal{q},<Multi_key> <C> <q>,mathematical bold script small q
𝓻,U1D4FB,\mathcal{r},<Multi_key> <C> <r>,mathematical bold script small r
𝓼,U1D4FC,\mathcal{s},<Multi_key> <C> <s>,mathematical bold script small s
𝓽,U1D4FD,\mathcal{t},<Multi_key> <C> <t>,mathematical bold script small t
𝓾,U1D4FE,\mathcal{u},<Multi_key> <C> <u>,mathematical bold script small u
𝓿,U1D4FF,\mathcal{v},<Multi_key> <C> <v>,mathematical bold script small v
𝔀,U1D500,\mathcal{w},<Multi_key> <C> <w>,mathematical bold script small w
𝔁,U1D501,\mathcal{x},<Multi_key> <C> <x>,mathematical bold script small x
𝔂,U1D502,\mathcal{y},<Multi_key> <C> <y>,mathematical bold script small y
𝔃,U1D503,\mathcal{z},<Multi_key> <C> <z>,mathematical bold script small z
𝔄,U1D504,\mathfrak{A},<Multi_key> <f> <A>,mathematical fraktur capital A
𝔅,U1D505,\mathfrak{B},<Multi_key> <f> <B>,mathematical fraktur capital B
𝔇,U1D507,\mathfrak{D},<Multi_key> <f> <D>,mathematical fraktur capital D
𝔈,U1D508,\mathfrak{E},<Multi_key> <f> <E>,mathematical fraktur capital E
𝔉,U1D509,\mathfrak{F},<Multi_key> <f> <F>,mathematical fraktur capital F
𝔊,U1D50A,\mathfrak{G},<Multi_key> <f> <G>,mathematical fraktur capital G
𝔍,U1D50D,\mathfrak{J},<Multi_key> <f> <J>,mathematical fraktur capital J
𝔎,U1D50E,\mathfrak{K},<Multi_key> <f> <K>,mathematical fraktur capital K
𝔏,U1D50F,\mathfrak{L},<Multi_key> <f> <L>,mathematical fraktur capital L
𝔐,U1D510,\mathfrak{M},<Multi_key> <f> <M>,mathematical fraktur capital M
𝔑,U1D511,\mathfrak{N},<Multi_key> <f> <N>,mathematical fraktur capital N
𝔒,U1D512,\mathfrak{O},<Multi_key> <f> <O>,mathematical fraktur capital O
