unicode,codepoint,latex,compose,description
⋅,U22C5,\cdot,<Multi_key> <Multi_key> <asterisk> <period>,DOT OPERATOR
∗,U2217,\ast,<Multi_key> <asterisk> <asterisk>,ASTERISK OPERATOR
∅,U2205,\emptyset,<Multi_key> <0> <slash>,EMPTY SET
∅,U2205,\emptyset,<Multi_key> <slash> <0>,EMPTY SET
∪,U222A,\cup,<Multi_key> <braceleft> <U>,UNION
∩,U2229,\cap,<Multi_key> <braceleft> <asciicircum>,INTERSECTION
⊂,U2282,\subset,<Multi_key> <braceleft> <parenleft>,SUBSET OF
⊆,U2286,\subseteq,<Multi_key> <braceleft> <equal> <parenleft>,SUBSET OF OR EQUAL TO
⊄,U2284,\nsubseteq,<Multi_key> <exclam> <braceleft> <parenleft>,NOT A SUBSET OF
⊄,U2284,\nsubseteq,<Multi_key> <slash> <braceleft> <parenleft>,NOT A SUBSET OF
⊃,U2283,\supset,<Multi_key> <braceleft> <parenright>,SUPERSET OF
⊇,U2287,\supseteq,<Multi_key> <braceleft> <equal> <parenright>,SUPERSET OF OR EQUAL TO
≠,U2260,\neq,<Multi_key> <n> <e>,NOT EQUAL TO
≤,U2264,\leq,<Multi_key> <l> <e>,LESS-THAN OR EQUAL TO
≥,U2265,\geq,<Multi_key> <g> <e>,GREATER-THAN OR EQUAL TO
⊏,U228F,\sqsubset,<Multi_key> <bracketleft> <bracketleft>,SQUARE IMAGE OF
⊑,U2291,\sqsubseteq,<Multi_key> <bracketleft> <equal>,SQUARE IMAGE OF OR EQUAL TO
⊑,U2291,\sqsubseteq,<Multi_key> <bracketleft> <underscore>,SQUARE IMAGE OF OR EQUAL TO
⊐,U2290,\sqsupset,<Multi_key> <bracketright> <bracketright>,SQUARE ORIGINAL OF
⊒,U2292,\sqsupseteq,<Multi_key> <bracketright> <equal>,SQUARE ORIGINAL OF OR EQUAL TO
⊒,U2292,\sqsupseteq,<Multi_key> <bracketright> <underscore>,SQUARE ORIGINAL OF OR EQUAL TO
∑,U2211,\sum,<Multi_key> <s> <u> <m>,N-ARY SUMMATION
∏,U220F,\prod,<Multi_key> <p> <r> <o> <d>,N-ARY PRODUCT
‖,U2016,\Vert,<Multi_key> <v> <e> <r> <t>,DOUBLE VERTICAL LINE
∣,U2223,\mid,<Multi_key> <m> <i> <d>,
∤,U2224,\nmid,<Multi_key> <n> <m> <i> <d>,
∝,U221D,\propto,<Multi_key> <p> <r> <o> <p>,
∇,U2207,\nabla,<Multi_key> <d> <e> <l>,NABLA
∂,U2202,\partial,<Multi_key> <p> <a> <r> <t>,PARTIAL DIFFERENTIAL
∼,U223C,\sim,<Multi_key> <s> <i> <m>,
～,UFF5E,\sim,<Multi_key> <Multi_key> <asciitilde> <asciitilde>,
∫,U222B,\int,<Multi_key> <i> <n> <t> <space>,INTEGRAL
∬,U222C,\iint,<Multi_key> <i> <n> <t> <2> <space>,DOUBLE INTEGRAL
∭,U222D,\iiint,<Multi_key> <i> <n> <t> <3> <space>,TRIPLE INTEGRAL
∮,U222E,\oint,<Multi_key> <i> <n> <t> <o>,CONTOUR INTEGRAL
∯,U222F,\oiint,<Multi_key> <i> <n> <t> <2> <o>,SURFACE INTEGRAL
∰,U2230,\oiiint,<Multi_key> <i> <n> <t> <3> <o>,VOLUME INTEGRAL
⊤,U22A4,\top,<Multi_key> <l> <t> <o> <p>,DOWN TACK (opposite of False)
⊥,U22A5,\bot,<Multi_key> <l> <b> <o> <t>,UP TACK
⟂,U27C2,\perp,<Multi_key> <underscore> <bar> <underscore>,PERPENDICULAR
⫫,U2AEB,,<Multi_key> <underscore> <bar> <bar> <underscore>,
†,U2020,\dagger,<Multi_key> <d> <a> <g>,DAGGER
ℜ,U211C,\Re,<Multi_key> <R> <e>,BLACK-LETTER CAPITAL R (Real Part)
ℑ,U2111,\Im,<Multi_key> <I> <m>,BLACK-LETTER CAPITAL I (Imaginary Part)
ℵ,U2135,\aleph,<Multi_key> <Multi_key> <a> <l> <e> <p> <h>,ALEF SYMBOL
∈,U2208,\in,<Multi_key> <i> <n> <space>,ELEMENT OF
∉,U2209,\not\in,<Multi_key> <exclam> <i> <n>,NOT AN ELEMENT OF
∋,U220B,\ni,<Multi_key> <n> <i>,CONTAINS AS MEMBER
∌,U220C,\notni,<Multi_key> <exclam> <n> <i>,DOES NOT CONTAIN AS MEMBER
∃,U2203,\exists,<Multi_key> <E> <E>,THERE EXISTS
∄,U2204,\nexists,<Multi_key> <exclam> <E>,THERE DOES NOT EXIST
∀,U2200,\forall,<Multi_key> <A> <A>,FOR ALL
∞,U221E,\infty,<Multi_key> <8> <8>,INFINITY
ℓ,U2113,\ell,<Multi_key> <l> <l>,SCRIPT SMALL L
≅,U2245,\cong,<Multi_key> <asciitilde> <equal>,APPROXIMATELY EQUAL TO
⊔,U2294,\sqcup,,SQUARE CUP
÷,U00F7,\div,,DIVISION SIGN
⋮,U22EE,\vdots,<Multi_key> <bar> <period> <period>,VERTICAL ELLIPSIS
⋯,U22EF,\cdots,<Multi_key> <minus> <period> <period>,MIDLINE HORIZONTAL ELLIPSIS
…,U2026,\ifmmode\ldots\else\textellipsis\fi,<Multi_key> <period> <period> <period>,HORIZONTAL ELLIPSIS
⋰,U22F0,\udots,<Multi_key> <slash> <period> <period>,UP RIGHT DIAGONAL ELLIPSIS
⋱,U22F1,\ddots,<Multi_key> <backslash> <period> <period>,DOWN RIGHT DIAGONAL ELLIPSIS
∴,U2234,\therefore,<Multi_key> <t> <h> <e>,THEREFORE
ℵ₀,,\aleph_0,<Multi_key> <Multi_key> <a> <l> <e> <p> <0>,ALEF Null
ℵ₁,,\aleph_1,<Multi_key> <Multi_key> <a> <l> <e> <p> <1>,ALEF One
📍,,\emoji{round-pushpin},<Multi_key> <e> <l>, 
±,U00B1,\pm,<Multi_key> <plus> <minus>,PLUS-MINUS SIGN
≈,U2248,\approx,<Multi_key> <asciitilde> <asciitilde>,ALMOST EQUAL TO
\^{-1},,,<Multi_key> <minus> <1>,
\int_{∞}^{∞},,,<Multi_key> <i> <n> <t> <8>,
\\abs{,,,<Multi_key> <p> <a> <space>,
\\angles{,,,<Multi_key> <p> <g>,
\\parens{,,,<Multi_key> <p> <p>,
\\sqbracks{,,,<Multi_key> <p> <q>,
\\bracks{,,,<Multi_key> <p> <b>,
\\norm{,,,<Multi_key> <p> <n>,
⋉,U22C9,\ltimes,<Multi_key> <l> <t> <i> <m> <e> <s>,LEFT NORMAL FACTOR SEMIDIRECT PRODUCT
⋊,U22CA,\rtimes,<Multi_key> <r> <t> <i> <m> <e> <s>,RIGHT NORMAL FACTOR SEMIDIRECT PRODUCT
‐,U2010,\hyphen,<Multi_key> <d> <h> <y>,HYPHEN
‒,U2012,\figuredash,<Multi_key> <d> <f> <d>,FIGURE DASH
–,U2013,\endash,<Multi_key> <d> <e> <n>,EN DASH
—,U2014,\emdash,<Multi_key> <d> <e> <m>,EM DASH
―,U2015,\horizbar,<Multi_key> <d> <h> <b>,HORIZONTAL BAR
−,U2212,\minus,<Multi_key> <minus> <space>,MINUS SIGN
